Country Name,Country Code,Year,Gender,Value
IDA & IBRD total,IBT,1960,Male,
IDA total,IDA,1960,Male,
IDA blend,IDB,1960,Male,
Indonesia,IDN,1960,Male,
IDA only,IDX,1960,Male,
Isle of Man,IMN,1960,Male,
India,IND,1960,Male,
Not classified,INX,1960,Male,
Ireland,IRL,1960,Male,
"Iran, Islamic Rep.",IRN,1960,Male,
Iraq,IRQ,1960,Male,
Iceland,ISL,1960,Male,
Israel,ISR,1960,Male,
Italy,ITA,1960,Male,
Jamaica,JAM,1960,Male,
Jordan,JOR,1960,Male,
Japan,JPN,1960,Male,
Kazakhstan,KAZ,1960,Male,
Kenya,KEN,1960,Male,
Kyrgyz Republic,KGZ,1960,Male,
Cambodia,KHM,1960,Male,
Kiribati,KIR,1960,Male,
St. Kitts and Nevis,KNA,1960,Male,
"Korea, Rep.",KOR,1960,Male,
Kuwait,KWT,1960,Male,
Latin America & Caribbean (excluding high income),LAC,1960,Male,
Lao PDR,LAO,1960,Male,
Lebanon,LBN,1960,Male,
Liberia,LBR,1960,Male,
Libya,LBY,1960,Male,
St. Lucia,LCA,1960,Male,
Latin America & Caribbean,LCN,1960,Male,
Least developed countries: UN classification,LDC,1960,Male,
Low income,LIC,1960,Male,
Liechtenstein,LIE,1960,Male,
Sri Lanka,LKA,1960,Male,
Lower middle income,LMC,1960,Male,
Low & middle income,LMY,1960,Male,
Lesotho,LSO,1960,Male,
Late-demographic dividend,LTE,1960,Male,
Lithuania,LTU,1960,Male,
Luxembourg,LUX,1960,Male,
Latvia,LVA,1960,Male,
"Macao SAR, China",MAC,1960,Male,
St. Martin (French part),MAF,1960,Male,
Morocco,MAR,1960,Male,
Monaco,MCO,1960,Male,
Moldova,MDA,1960,Male,
Madagascar,MDG,1960,Male,
Maldives,MDV,1960,Male,
Middle East & North Africa,MEA,1960,Male,
Mexico,MEX,1960,Male,
Marshall Islands,MHL,1960,Male,
Middle income,MIC,1960,Male,
North Macedonia,MKD,1960,Male,
Mali,MLI,1960,Male,
Malta,MLT,1960,Male,
Myanmar,MMR,1960,Male,
Middle East & North Africa (excluding high income),MNA,1960,Male,
Montenegro,MNE,1960,Male,
Mongolia,MNG,1960,Male,
Northern Mariana Islands,MNP,1960,Male,
Mozambique,MOZ,1960,Male,
Mauritania,MRT,1960,Male,
Mauritius,MUS,1960,Male,
Malawi,MWI,1960,Male,
Malaysia,MYS,1960,Male,
North America,NAC,1960,Male,
Namibia,NAM,1960,Male,
New Caledonia,NCL,1960,Male,
Niger,NER,1960,Male,
Nigeria,NGA,1960,Male,
Nicaragua,NIC,1960,Male,
Netherlands,NLD,1960,Male,
Norway,NOR,1960,Male,
Nepal,NPL,1960,Male,
Nauru,NRU,1960,Male,
New Zealand,NZL,1960,Male,
OECD members,OED,1960,Male,
Oman,OMN,1960,Male,
Other small states,OSS,1960,Male,
Pakistan,PAK,1960,Male,
Panama,PAN,1960,Male,
Peru,PER,1960,Male,
Philippines,PHL,1960,Male,
Palau,PLW,1960,Male,
Papua New Guinea,PNG,1960,Male,
Poland,POL,1960,Male,
Pre-demographic dividend,PRE,1960,Male,
Puerto Rico,PRI,1960,Male,
"Korea, Dem. People's Rep.",PRK,1960,Male,
Portugal,PRT,1960,Male,
Paraguay,PRY,1960,Male,
West Bank and Gaza,PSE,1960,Male,
Pacific island small states,PSS,1960,Male,
Post-demographic dividend,PST,1960,Male,
French Polynesia,PYF,1960,Male,
Qatar,QAT,1960,Male,
Romania,ROU,1960,Male,
Russian Federation,RUS,1960,Male,
Rwanda,RWA,1960,Male,
South Asia,SAS,1960,Male,
Saudi Arabia,SAU,1960,Male,
Sudan,SDN,1960,Male,
Senegal,SEN,1960,Male,
Singapore,SGP,1960,Male,
Solomon Islands,SLB,1960,Male,
Sierra Leone,SLE,1960,Male,
El Salvador,SLV,1960,Male,
San Marino,SMR,1960,Male,
Somalia,SOM,1960,Male,
Serbia,SRB,1960,Male,
Sub-Saharan Africa (excluding high income),SSA,1960,Male,
South Sudan,SSD,1960,Male,
Sub-Saharan Africa,SSF,1960,Male,
Small states,SST,1960,Male,
Sao Tome and Principe,STP,1960,Male,
Suriname,SUR,1960,Male,
Slovak Republic,SVK,1960,Male,
Slovenia,SVN,1960,Male,
Sweden,SWE,1960,Male,
Eswatini,SWZ,1960,Male,
Sint Maarten (Dutch part),SXM,1960,Male,
Seychelles,SYC,1960,Male,
Syrian Arab Republic,SYR,1960,Male,
Turks and Caicos Islands,TCA,1960,Male,
Chad,TCD,1960,Male,
East Asia & Pacific (IDA & IBRD countries),TEA,1960,Male,
Europe & Central Asia (IDA & IBRD countries),TEC,1960,Male,
Togo,TGO,1960,Male,
Thailand,THA,1960,Male,
Tajikistan,TJK,1960,Male,
Turkmenistan,TKM,1960,Male,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,Male,
Timor-Leste,TLS,1960,Male,
Middle East & North Africa (IDA & IBRD countries),TMN,1960,Male,
Tonga,TON,1960,Male,
South Asia (IDA & IBRD),TSA,1960,Male,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,Male,
Trinidad and Tobago,TTO,1960,Male,
Tunisia,TUN,1960,Male,
Turkiye,TUR,1960,Male,
Tuvalu,TUV,1960,Male,
Tanzania,TZA,1960,Male,
Uganda,UGA,1960,Male,
Ukraine,UKR,1960,Male,
Upper middle income,UMC,1960,Male,
Uruguay,URY,1960,Male,
United States,USA,1960,Male,
Uzbekistan,UZB,1960,Male,
St. Vincent and the Grenadines,VCT,1960,Male,
"Venezuela, RB",VEN,1960,Male,
British Virgin Islands,VGB,1960,Male,
Virgin Islands (U.S.),VIR,1960,Male,
Viet Nam,VNM,1960,Male,
Vanuatu,VUT,1960,Male,
World,WLD,1960,Male,
Samoa,WSM,1960,Male,
Kosovo,XKX,1960,Male,
"Yemen, Rep.",YEM,1960,Male,
South Africa,ZAF,1960,Male,
Zambia,ZMB,1960,Male,
Zimbabwe,ZWE,1960,Male,
Aruba,ABW,1961,Male,
Africa Eastern and Southern,AFE,1961,Male,
Afghanistan,AFG,1961,Male,
Africa Western and Central,AFW,1961,Male,
Angola,AGO,1961,Male,
Albania,ALB,1961,Male,
Andorra,AND,1961,Male,
Arab World,ARB,1961,Male,
United Arab Emirates,ARE,1961,Male,
Argentina,ARG,1961,Male,
Armenia,ARM,1961,Male,
American Samoa,ASM,1961,Male,
Antigua and Barbuda,ATG,1961,Male,
Australia,AUS,1961,Male,
Austria,AUT,1961,Male,
Azerbaijan,AZE,1961,Male,
Burundi,BDI,1961,Male,
Belgium,BEL,1961,Male,
Benin,BEN,1961,Male,
Burkina Faso,BFA,1961,Male,
Bangladesh,BGD,1961,Male,
Bulgaria,BGR,1961,Male,
Bahrain,BHR,1961,Male,
"Bahamas, The",BHS,1961,Male,
Bosnia and Herzegovina,BIH,1961,Male,
Belarus,BLR,1961,Male,
Belize,BLZ,1961,Male,
Bermuda,BMU,1961,Male,
Bolivia,BOL,1961,Male,
Brazil,BRA,1961,Male,
Barbados,BRB,1961,Male,
Brunei Darussalam,BRN,1961,Male,
Bhutan,BTN,1961,Male,
Botswana,BWA,1961,Male,
Central African Republic,CAF,1961,Male,
Canada,CAN,1961,Male,
Central Europe and the Baltics,CEB,1961,Male,
Switzerland,CHE,1961,Male,
Channel Islands,CHI,1961,Male,
Chile,CHL,1961,Male,
China,CHN,1961,Male,
Cote d'Ivoire,CIV,1961,Male,
Cameroon,CMR,1961,Male,
"Congo, Dem. Rep.",COD,1961,Male,
"Congo, Rep.",COG,1961,Male,
Colombia,COL,1961,Male,
Comoros,COM,1961,Male,
Cabo Verde,CPV,1961,Male,
Costa Rica,CRI,1961,Male,
Caribbean small states,CSS,1961,Male,
Cuba,CUB,1961,Male,
Curacao,CUW,1961,Male,
Cayman Islands,CYM,1961,Male,
Cyprus,CYP,1961,Male,
Czechia,CZE,1961,Male,
Germany,DEU,1961,Male,
Djibouti,DJI,1961,Male,
Dominica,DMA,1961,Male,
Denmark,DNK,1961,Male,
Dominican Republic,DOM,1961,Male,
Algeria,DZA,1961,Male,
East Asia & Pacific (excluding high income),EAP,1961,Male,
Early-demographic dividend,EAR,1961,Male,
East Asia & Pacific,EAS,1961,Male,
Europe & Central Asia (excluding high income),ECA,1961,Male,
Europe & Central Asia,ECS,1961,Male,
Ecuador,ECU,1961,Male,
"Egypt, Arab Rep.",EGY,1961,Male,
Euro area,EMU,1961,Male,
Eritrea,ERI,1961,Male,
Spain,ESP,1961,Male,
Estonia,EST,1961,Male,
Ethiopia,ETH,1961,Male,
European Union,EUU,1961,Male,
Fragile and conflict affected situations,FCS,1961,Male,
Finland,FIN,1961,Male,
Fiji,FJI,1961,Male,
France,FRA,1961,Male,
Faroe Islands,FRO,1961,Male,
"Micronesia, Fed. Sts.",FSM,1961,Male,
Gabon,GAB,1961,Male,
United Kingdom,GBR,1961,Male,
Georgia,GEO,1961,Male,
Ghana,GHA,1961,Male,
Gibraltar,GIB,1961,Male,
Guinea,GIN,1961,Male,
"Gambia, The",GMB,1961,Male,
Guinea-Bissau,GNB,1961,Male,
Equatorial Guinea,GNQ,1961,Male,
Greece,GRC,1961,Male,
Grenada,GRD,1961,Male,
Greenland,GRL,1961,Male,
Guatemala,GTM,1961,Male,
Guam,GUM,1961,Male,
Guyana,GUY,1961,Male,
High income,HIC,1961,Male,
"Hong Kong SAR, China",HKG,1961,Male,
Honduras,HND,1961,Male,
Heavily indebted poor countries (HIPC),HPC,1961,Male,
Croatia,HRV,1961,Male,
Haiti,HTI,1961,Male,
Hungary,HUN,1961,Male,
IBRD only,IBD,1961,Male,
IDA & IBRD total,IBT,1961,Male,
IDA total,IDA,1961,Male,
IDA blend,IDB,1961,Male,
Indonesia,IDN,1961,Male,
IDA only,IDX,1961,Male,
Isle of Man,IMN,1961,Male,
India,IND,1961,Male,
Not classified,INX,1961,Male,
Ireland,IRL,1961,Male,
"Iran, Islamic Rep.",IRN,1961,Male,
Iraq,IRQ,1961,Male,
Iceland,ISL,1961,Male,
Israel,ISR,1961,Male,
Italy,ITA,1961,Male,
Jamaica,JAM,1961,Male,
Jordan,JOR,1961,Male,
Japan,JPN,1961,Male,
Kazakhstan,KAZ,1961,Male,
Kenya,KEN,1961,Male,
Kyrgyz Republic,KGZ,1961,Male,
Cambodia,KHM,1961,Male,
Kiribati,KIR,1961,Male,
St. Kitts and Nevis,KNA,1961,Male,
"Korea, Rep.",KOR,1961,Male,
Kuwait,KWT,1961,Male,
Latin America & Caribbean (excluding high income),LAC,1961,Male,
Lao PDR,LAO,1961,Male,
Lebanon,LBN,1961,Male,
Liberia,LBR,1961,Male,
Libya,LBY,1961,Male,
St. Lucia,LCA,1961,Male,
Latin America & Caribbean,LCN,1961,Male,
Least developed countries: UN classification,LDC,1961,Male,
Low income,LIC,1961,Male,
Liechtenstein,LIE,1961,Male,
Sri Lanka,LKA,1961,Male,
Lower middle income,LMC,1961,Male,
Low & middle income,LMY,1961,Male,
Lesotho,LSO,1961,Male,
Late-demographic dividend,LTE,1961,Male,
Lithuania,LTU,1961,Male,
Luxembourg,LUX,1961,Male,
Latvia,LVA,1961,Male,
"Macao SAR, China",MAC,1961,Male,
St. Martin (French part),MAF,1961,Male,
Morocco,MAR,1961,Male,
Monaco,MCO,1961,Male,
Moldova,MDA,1961,Male,
Madagascar,MDG,1961,Male,
Maldives,MDV,1961,Male,
Middle East & North Africa,MEA,1961,Male,
Mexico,MEX,1961,Male,
Marshall Islands,MHL,1961,Male,
Middle income,MIC,1961,Male,
North Macedonia,MKD,1961,Male,
Mali,MLI,1961,Male,
Malta,MLT,1961,Male,
Myanmar,MMR,1961,Male,
Middle East & North Africa (excluding high income),MNA,1961,Male,
Montenegro,MNE,1961,Male,
Mongolia,MNG,1961,Male,
Northern Mariana Islands,MNP,1961,Male,
Mozambique,MOZ,1961,Male,
Mauritania,MRT,1961,Male,
Mauritius,MUS,1961,Male,
Malawi,MWI,1961,Male,
Malaysia,MYS,1961,Male,
North America,NAC,1961,Male,
Namibia,NAM,1961,Male,
New Caledonia,NCL,1961,Male,
Niger,NER,1961,Male,
Nigeria,NGA,1961,Male,
Nicaragua,NIC,1961,Male,
Netherlands,NLD,1961,Male,
Norway,NOR,1961,Male,
Nepal,NPL,1961,Male,
Nauru,NRU,1961,Male,
New Zealand,NZL,1961,Male,
OECD members,OED,1961,Male,
Oman,OMN,1961,Male,
Other small states,OSS,1961,Male,
Pakistan,PAK,1961,Male,
Panama,PAN,1961,Male,
Peru,PER,1961,Male,
Philippines,PHL,1961,Male,
Palau,PLW,1961,Male,
Papua New Guinea,PNG,1961,Male,
Poland,POL,1961,Male,
Pre-demographic dividend,PRE,1961,Male,
Puerto Rico,PRI,1961,Male,
"Korea, Dem. People's Rep.",PRK,1961,Male,
Portugal,PRT,1961,Male,
Paraguay,PRY,1961,Male,
West Bank and Gaza,PSE,1961,Male,
Pacific island small states,PSS,1961,Male,
Post-demographic dividend,PST,1961,Male,
French Polynesia,PYF,1961,Male,
Qatar,QAT,1961,Male,
Romania,ROU,1961,Male,
Russian Federation,RUS,1961,Male,
Rwanda,RWA,1961,Male,
South Asia,SAS,1961,Male,
Saudi Arabia,SAU,1961,Male,
Sudan,SDN,1961,Male,
Senegal,SEN,1961,Male,
Singapore,SGP,1961,Male,
Solomon Islands,SLB,1961,Male,
Sierra Leone,SLE,1961,Male,
El Salvador,SLV,1961,Male,
San Marino,SMR,1961,Male,
Somalia,SOM,1961,Male,
Serbia,SRB,1961,Male,
Sub-Saharan Africa (excluding high income),SSA,1961,Male,
South Sudan,SSD,1961,Male,
Sub-Saharan Africa,SSF,1961,Male,
Small states,SST,1961,Male,
Sao Tome and Principe,STP,1961,Male,
Suriname,SUR,1961,Male,
Slovak Republic,SVK,1961,Male,
Slovenia,SVN,1961,Male,
Sweden,SWE,1961,Male,
Eswatini,SWZ,1961,Male,
Sint Maarten (Dutch part),SXM,1961,Male,
Seychelles,SYC,1961,Male,
Syrian Arab Republic,SYR,1961,Male,
Turks and Caicos Islands,TCA,1961,Male,
Chad,TCD,1961,Male,
East Asia & Pacific (IDA & IBRD countries),TEA,1961,Male,
Europe & Central Asia (IDA & IBRD countries),TEC,1961,Male,
Togo,TGO,1961,Male,
Thailand,THA,1961,Male,
Tajikistan,TJK,1961,Male,
Turkmenistan,TKM,1961,Male,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1961,Male,
Timor-Leste,TLS,1961,Male,
Middle East & North Africa (IDA & IBRD countries),TMN,1961,Male,
Tonga,TON,1961,Male,
South Asia (IDA & IBRD),TSA,1961,Male,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1961,Male,
Trinidad and Tobago,TTO,1961,Male,
Tunisia,TUN,1961,Male,
Turkiye,TUR,1961,Male,
Tuvalu,TUV,1961,Male,
Tanzania,TZA,1961,Male,
Uganda,UGA,1961,Male,
Ukraine,UKR,1961,Male,
Upper middle income,UMC,1961,Male,
Uruguay,URY,1961,Male,
United States,USA,1961,Male,
Uzbekistan,UZB,1961,Male,
St. Vincent and the Grenadines,VCT,1961,Male,
"Venezuela, RB",VEN,1961,Male,
British Virgin Islands,VGB,1961,Male,
Virgin Islands (U.S.),VIR,1961,Male,
Viet Nam,VNM,1961,Male,
Vanuatu,VUT,1961,Male,
World,WLD,1961,Male,
Samoa,WSM,1961,Male,
Kosovo,XKX,1961,Male,
"Yemen, Rep.",YEM,1961,Male,
South Africa,ZAF,1961,Male,
Zambia,ZMB,1961,Male,
Zimbabwe,ZWE,1961,Male,
Aruba,ABW,1962,Male,
Africa Eastern and Southern,AFE,1962,Male,
Afghanistan,AFG,1962,Male,
Africa Western and Central,AFW,1962,Male,
Angola,AGO,1962,Male,
Albania,ALB,1962,Male,
Andorra,AND,1962,Male,
Arab World,ARB,1962,Male,
United Arab Emirates,ARE,1962,Male,
Argentina,ARG,1962,Male,
Armenia,ARM,1962,Male,
American Samoa,ASM,1962,Male,
Antigua and Barbuda,ATG,1962,Male,
Australia,AUS,1962,Male,
Austria,AUT,1962,Male,
Azerbaijan,AZE,1962,Male,
Burundi,BDI,1962,Male,
Belgium,BEL,1962,Male,
Benin,BEN,1962,Male,
Burkina Faso,BFA,1962,Male,
Bangladesh,BGD,1962,Male,
Bulgaria,BGR,1962,Male,
Bahrain,BHR,1962,Male,
"Bahamas, The",BHS,1962,Male,
Bosnia and Herzegovina,BIH,1962,Male,
Belarus,BLR,1962,Male,
Belize,BLZ,1962,Male,
Bermuda,BMU,1962,Male,
Bolivia,BOL,1962,Male,
Brazil,BRA,1962,Male,
Barbados,BRB,1962,Male,
Brunei Darussalam,BRN,1962,Male,
Bhutan,BTN,1962,Male,
Botswana,BWA,1962,Male,
Central African Republic,CAF,1962,Male,
Canada,CAN,1962,Male,
Central Europe and the Baltics,CEB,1962,Male,
Switzerland,CHE,1962,Male,
Channel Islands,CHI,1962,Male,
Chile,CHL,1962,Male,
China,CHN,1962,Male,
Cote d'Ivoire,CIV,1962,Male,
Cameroon,CMR,1962,Male,
"Congo, Dem. Rep.",COD,1962,Male,
"Congo, Rep.",COG,1962,Male,
Colombia,COL,1962,Male,
Comoros,COM,1962,Male,
Cabo Verde,CPV,1962,Male,
Costa Rica,CRI,1962,Male,
Caribbean small states,CSS,1962,Male,
Cuba,CUB,1962,Male,
Curacao,CUW,1962,Male,
Cayman Islands,CYM,1962,Male,
Cyprus,CYP,1962,Male,
Czechia,CZE,1962,Male,
Germany,DEU,1962,Male,
Djibouti,DJI,1962,Male,
Dominica,DMA,1962,Male,
Denmark,DNK,1962,Male,
Dominican Republic,DOM,1962,Male,
Algeria,DZA,1962,Male,
East Asia & Pacific (excluding high income),EAP,1962,Male,
Early-demographic dividend,EAR,1962,Male,
East Asia & Pacific,EAS,1962,Male,
Europe & Central Asia (excluding high income),ECA,1962,Male,
Europe & Central Asia,ECS,1962,Male,
Ecuador,ECU,1962,Male,
"Egypt, Arab Rep.",EGY,1962,Male,
Euro area,EMU,1962,Male,
Eritrea,ERI,1962,Male,
Spain,ESP,1962,Male,
Estonia,EST,1962,Male,
Ethiopia,ETH,1962,Male,
European Union,EUU,1962,Male,
Fragile and conflict affected situations,FCS,1962,Male,
Finland,FIN,1962,Male,
Fiji,FJI,1962,Male,
France,FRA,1962,Male,
Faroe Islands,FRO,1962,Male,
"Micronesia, Fed. Sts.",FSM,1962,Male,
Gabon,GAB,1962,Male,
United Kingdom,GBR,1962,Male,
Georgia,GEO,1962,Male,
Ghana,GHA,1962,Male,
Gibraltar,GIB,1962,Male,
Guinea,GIN,1962,Male,
"Gambia, The",GMB,1962,Male,
Guinea-Bissau,GNB,1962,Male,
Equatorial Guinea,GNQ,1962,Male,
Greece,GRC,1962,Male,
Grenada,GRD,1962,Male,
Greenland,GRL,1962,Male,
Guatemala,GTM,1962,Male,
Guam,GUM,1962,Male,
Guyana,GUY,1962,Male,
High income,HIC,1962,Male,
"Hong Kong SAR, China",HKG,1962,Male,
Honduras,HND,1962,Male,
Heavily indebted poor countries (HIPC),HPC,1962,Male,
Croatia,HRV,1962,Male,
Haiti,HTI,1962,Male,
Hungary,HUN,1962,Male,
IBRD only,IBD,1962,Male,
IDA & IBRD total,IBT,1962,Male,
IDA total,IDA,1962,Male,
IDA blend,IDB,1962,Male,
Indonesia,IDN,1962,Male,
IDA only,IDX,1962,Male,
Isle of Man,IMN,1962,Male,
India,IND,1962,Male,
Not classified,INX,1962,Male,
Ireland,IRL,1962,Male,
"Iran, Islamic Rep.",IRN,1962,Male,
Iraq,IRQ,1962,Male,
Iceland,ISL,1962,Male,
Israel,ISR,1962,Male,
Italy,ITA,1962,Male,
Jamaica,JAM,1962,Male,
Jordan,JOR,1962,Male,
Japan,JPN,1962,Male,
Kazakhstan,KAZ,1962,Male,
Kenya,KEN,1962,Male,
Kyrgyz Republic,KGZ,1962,Male,
Cambodia,KHM,1962,Male,
Kiribati,KIR,1962,Male,
St. Kitts and Nevis,KNA,1962,Male,
"Korea, Rep.",KOR,1962,Male,
Kuwait,KWT,1962,Male,
Latin America & Caribbean (excluding high income),LAC,1962,Male,
Lao PDR,LAO,1962,Male,
Lebanon,LBN,1962,Male,
Liberia,LBR,1962,Male,
Libya,LBY,1962,Male,
St. Lucia,LCA,1962,Male,
Latin America & Caribbean,LCN,1962,Male,
Least developed countries: UN classification,LDC,1962,Male,
Low income,LIC,1962,Male,
Liechtenstein,LIE,1962,Male,
Sri Lanka,LKA,1962,Male,
Lower middle income,LMC,1962,Male,
Low & middle income,LMY,1962,Male,
Lesotho,LSO,1962,Male,
Late-demographic dividend,LTE,1962,Male,
Lithuania,LTU,1962,Male,
Luxembourg,LUX,1962,Male,
Latvia,LVA,1962,Male,
"Macao SAR, China",MAC,1962,Male,
St. Martin (French part),MAF,1962,Male,
Morocco,MAR,1962,Male,
Monaco,MCO,1962,Male,
Moldova,MDA,1962,Male,
Madagascar,MDG,1962,Male,
Maldives,MDV,1962,Male,
Middle East & North Africa,MEA,1962,Male,
Mexico,MEX,1962,Male,
Marshall Islands,MHL,1962,Male,
Middle income,MIC,1962,Male,
North Macedonia,MKD,1962,Male,
Mali,MLI,1962,Male,
Malta,MLT,1962,Male,
Myanmar,MMR,1962,Male,
Middle East & North Africa (excluding high income),MNA,1962,Male,
Montenegro,MNE,1962,Male,
Mongolia,MNG,1962,Male,
Northern Mariana Islands,MNP,1962,Male,
Mozambique,MOZ,1962,Male,
Mauritania,MRT,1962,Male,
Mauritius,MUS,1962,Male,
Malawi,MWI,1962,Male,
Malaysia,MYS,1962,Male,
North America,NAC,1962,Male,
Namibia,NAM,1962,Male,
New Caledonia,NCL,1962,Male,
Niger,NER,1962,Male,
Nigeria,NGA,1962,Male,
Nicaragua,NIC,1962,Male,
Netherlands,NLD,1962,Male,
Norway,NOR,1962,Male,
Nepal,NPL,1962,Male,
Nauru,NRU,1962,Male,
New Zealand,NZL,1962,Male,
OECD members,OED,1962,Male,
Oman,OMN,1962,Male,
Other small states,OSS,1962,Male,
Pakistan,PAK,1962,Male,
Panama,PAN,1962,Male,
Peru,PER,1962,Male,
Philippines,PHL,1962,Male,
Palau,PLW,1962,Male,
Papua New Guinea,PNG,1962,Male,
Poland,POL,1962,Male,
Pre-demographic dividend,PRE,1962,Male,
Puerto Rico,PRI,1962,Male,
"Korea, Dem. People's Rep.",PRK,1962,Male,
Portugal,PRT,1962,Male,
Paraguay,PRY,1962,Male,
West Bank and Gaza,PSE,1962,Male,
Pacific island small states,PSS,1962,Male,
Post-demographic dividend,PST,1962,Male,
French Polynesia,PYF,1962,Male,
Qatar,QAT,1962,Male,
Romania,ROU,1962,Male,
Russian Federation,RUS,1962,Male,
Rwanda,RWA,1962,Male,
South Asia,SAS,1962,Male,
Saudi Arabia,SAU,1962,Male,
Sudan,SDN,1962,Male,
Senegal,SEN,1962,Male,
Singapore,SGP,1962,Male,
Solomon Islands,SLB,1962,Male,
Sierra Leone,SLE,1962,Male,
El Salvador,SLV,1962,Male,
San Marino,SMR,1962,Male,
Somalia,SOM,1962,Male,
Serbia,SRB,1962,Male,
Sub-Saharan Africa (excluding high income),SSA,1962,Male,
South Sudan,SSD,1962,Male,
Sub-Saharan Africa,SSF,1962,Male,
Small states,SST,1962,Male,
Sao Tome and Principe,STP,1962,Male,
Suriname,SUR,1962,Male,
Slovak Republic,SVK,1962,Male,
Slovenia,SVN,1962,Male,
Sweden,SWE,1962,Male,
Eswatini,SWZ,1962,Male,
Sint Maarten (Dutch part),SXM,1962,Male,
Seychelles,SYC,1962,Male,
Syrian Arab Republic,SYR,1962,Male,
Turks and Caicos Islands,TCA,1962,Male,
Chad,TCD,1962,Male,
East Asia & Pacific (IDA & IBRD countries),TEA,1962,Male,
Europe & Central Asia (IDA & IBRD countries),TEC,1962,Male,
Togo,TGO,1962,Male,
Thailand,THA,1962,Male,
Tajikistan,TJK,1962,Male,
Turkmenistan,TKM,1962,Male,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1962,Male,
Timor-Leste,TLS,1962,Male,
Middle East & North Africa (IDA & IBRD countries),TMN,1962,Male,
